ANIO_DENUNCIA,ANIO_HECHO,CAPTURA,CONDENA,DELITO,DEPARTAMENTO,ESTADO_NOTICIA,ETAPA,GRUPO_EDAD_VICTIMA,HECHO,HOMICIDIO_DOLOSO_CONSUMADO,IMPUTACION,MUNICIPIO,PAIS,PAIS_NACIMIENTO,SEXO_VICTIMA,TOTAL_VICTIMAS,TOTAL_POBLACION,TOTAL_FEMINICIDIOS,PORCENTAJE_TOTAL,PORCENTAJE_FEMINICIDIOS
2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACION,SIN DATO,SI,SI,NO,SANTA MARTA,Colombia,Colombia,FEMENINO,1,524031,75,1,0.000143121303892327
2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,SANTA MARTA,Colombia,Colombia,FEMENINO,1,524031,75,1,0.000143121303892327
2017,2017,SI,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,EJECUCION DE PENAS,ADOLESCENTE 14 - 17,SI,SI,SI,PALMIRA,Colombia,Colombia,FEMENINO,1,314418,46,1,0.000146302056498038
2016,2016,SI,SI,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,EJECUCION DE PENAS,INFANCIA 6 - 11,SI,SI,SI,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,1,0.000177859960117708
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,Bogota,Colombia,Colombia,FEMENINO,2,8380801,884,1,0.000105479177944924
2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,BolIvar,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,1,0.000098320329524366
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,TARAZA,Colombia,Colombia,FEMENINO,1,48926,5,1,0.000102195151861996
2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,EJECUCION DE PENAS,JUVENTUD 18 - 28,SI,NO,SI,VILLAVICENCIO,Colombia,Colombia,FEMENINO,2,538527,53,1,0.0000984166067810899
2016,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,BELLO,Colombia,Colombia,FEMENINO,1,500098,28,1,0.0000559890261508744
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,POPAYAN,Colombia,Colombia,FEMENINO,1,288636,41,1,0.000142047423051872
2019,2019,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,MEDELLIN,Colombia,Colombia,FEMENINO,1,2569007,215,1,0.0000836899237721034
2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,FUNDACION,Colombia,Colombia,FEMENINO,1,57677,24,1,0.000416110407961579
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,ALMAGUER,Colombia,Colombia,MASCULINO,1,21391,2,1,0.0000934972652049927
2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,ADOLESCENTE 14 - 17,SI,SI,NO,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,COrdoba,INACTIVO,EJECUCION DE PENAS,SIN DATO,SI,SI,SI,PUERTO ESCONDIDO,Colombia,Colombia,FEMENINO,1,33670,2,1,0.0000594000594000594
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,CALI,Colombia,Colombia,FEMENINO,6,2496346,444,1,0.000177859960117708
2017,2017,SI,NO,"FEMINICIDIO ART. 104A C.P. AGRAVADO POR AGRESION SEXUAL, FISICA O PSICOLOGICA. ART. 104B L.F",NariNo,ACTIVO,JUICIO,SIN DATO,SI,NO,SI,LA UNION,Colombia,Colombia,FEMENINO,1,19588,9,1,0.000459464978558301
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACION,SIN DATO,SI,NO,NO,CALI,Colombia,Colombia,FEMENINO,5,2496346,444,1,0.000177859960117708
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,BUENAVENTURA,Colombia,Colombia,FEMENINO,2,440995,33,1,0.0000748307803943356
2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,1,0.000177859960117708
2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Caldas,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,PACORA,Colombia,Colombia,FEMENINO,1,10608,10,1,0.000942684766214178
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,CALI,Colombia,Colombia,FEMENINO,2,2496346,444,1,0.000177859960117708
2019,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Cundinamarca,INACTIVO,INDAGACION,SIN DATO,NO,NO,NO,FUSAGASUGA,Colombia,Colombia,FEMENINO,1,147631,3,1,0.0000203209353049156
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,INDAGACION,SIN DATO,SI,SI,NO,VILLAVICENCIO,Colombia,Colombia,FEMENINO,1,538527,53,1,0.0000984166067810899
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,BolIvar,ACTIVO,INDAGACION,ADULTO MAYOR DE 60,SI,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,1,0.000098320329524366
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,AtlAntico,INACTIVO,INDAGACION,ADOLESCENTE 14 - 17,SI,SI,NO,JUAN DE ACOSTA,Colombia,Colombia,FEMENINO,1,17925,1,1,0.0000557880055788006
2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,COrdoba,ACTIVO,INVESTIGACION,SIN DATO,SI,NO,SI,MONTERIA,Colombia,Colombia,FEMENINO,1,471867,23,1,0.000048742548218036
2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,SIN DATO,NO,SI,NO,Bogota,Colombia,Colombia,MASCULINO,1,8380801,884,1,0.000105479177944924
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,BolIvar,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,ARJONA,Colombia,Colombia,FEMENINO,1,79472,4,1,0.000050332192470304
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACION,SIN DATO,SI,SI,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,1,0.000177859960117708
2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,EJECUCION DE PENAS,PRE-ADOLESCENTE 12 - 13,SI,SI,SI,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,1,0.000177859960117708
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Boyaca,INACTIVO,EJECUCION DE PENAS,JUVENTUD 18 - 28,SI,NO,SI,SOGAMOSO,Colombia,Colombia,FEMENINO,1,110885,12,1,0.000108220228164314
2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,QuindIo,INACTIVO,INDAGACION,SIN DATO,SI,SI,NO,ARMENIA,Colombia,Colombia,MASCULINO,1,3765,30,1,0.00796812749003984
2016,2016,SI,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,INACTIVO,EJECUCION DE PENAS,ADULTEZ 29 - 59,SI,SI,SI,TOPAIPI,Colombia,Colombia,FEMENINO,2,4462,3,1,0.000672344240251008
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,BolIvar,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,1,0.000098320329524366
2012,2012,NO,NO,FEMINICIDIO ART. 104A C.P.,BolIvar,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,1,0.000098320329524366
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,1,0.000177859960117708
2017,2017,SI,SI,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,EJECUCION DE PENAS,INFANCIA 6 - 11,SI,SI,SI,CALI,Colombia,Colombia,MASCULINO,1,2496346,444,1,0.000177859960117708
2017,2017,SI,SI,FEMINICIDIO ART. 104A C.P.,Santander,INACTIVO,EJECUCION DE PENAS,PRIMERA INFANCIA 0 - 5,SI,SI,SI,SUCRE,Colombia,Colombia,MASCULINO,1,8837,5,1,0.000565802874278602
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACION,ADOLESCENTE 14 - 17,SI,NO,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,1,0.000177859960117708
2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,Bogota,Colombia,Colombia,FEMENINO,5,8380801,884,1,0.000105479177944924
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Casanare,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,YOPAL,Colombia,Colombia,FEMENINO,1,155882,17,1,0.000109056850694756
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Putumayo,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,PUERTO ASIS,Colombia,Colombia,FEMENINO,1,63953,16,1,0.000250183728675746
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,BolIvar,INACTIVO,INDAGACION,SIN DATO,NO,SI,NO,CARTAGENA,Colombia,Colombia,MASCULINO,1,1057767,104,1,0.000098320329524366
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,SAN LUIS,Colombia,Colombia,FEMENINO,1,10908,5,1,0.000458379171250458
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,Bogota,Colombia,Colombia,FEMENINO,3,8380801,884,1,0.000105479177944924
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,CIENAGA,Colombia,Colombia,FEMENINO,1,105807,14,1,0.000132316387384578
2017,2017,SI,SI,FEMINICIDIO ART. 104A C.P.,COrdoba,INACTIVO,EJECUCION DE PENAS,ADULTEZ 29 - 59,SI,SI,SI,CANALETE,Colombia,Colombia,FEMENINO,1,23992,3,1,0.000125041680560187
2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Meta,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,PUERTO GAITAN,Colombia,Colombia,FEMENINO,1,19113,15,1,0.000784806152880239
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,CaquetA,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,CURILLO,Colombia,Colombia,FEMENINO,1,11920,1,1,0.0000838926174496644
2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,SIN DATO,NO,NO,NO,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,IBAGUE,Colombia,Colombia,FEMENINO,1,579803,120,1,0.000206966849084948
2017,2017,SI,NO,FEMINICIDIO ART. 104A C.P.,Tolima,ACTIVO,TERMINACION ANTICIPADA,JUVENTUD 18 - 28,SI,SI,SI,SAN LUIS,Colombia,Colombia,FEMENINO,1,10908,5,1,0.000458379171250458
2016,2016,NO,SI,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,EJECUCION DE PENAS,SIN DATO,SI,SI,SI,VILLAVICENCIO,Colombia,Colombia,FEMENINO,1,538527,53,1,0.0000984166067810899
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,VaupEs,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,MITU,Colombia,Colombia,FEMENINO,1,33079,2,1,0.0000604613198706128
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Meta,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,RESTREPO,Colombia,Colombia,FEMENINO,1,10715,11,1,0.00102659822678488
2019,2019,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,ACTIVO,INDAGACION,ADOLESCENTE 14 - 17,SI,SI,NO,MEDELLIN,Colombia,,FEMENINO,1,2569007,215,1,0.0000836899237721034
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACION,SIN DATO,SI,SI,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,1,0.000177859960117708
2018,2018,NO,SI,FEMINICIDIO ART. 104A C.P.,Meta,ACTIVO,INVESTIGACION,JUVENTUD 18 - 28,SI,SI,SI,GRANADA,Colombia,Colombia,FEMENINO,1,9890,4,1,0.000404448938321537
2016,2016,SI,SI,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,EJECUCION DE PENAS,ADULTEZ 29 - 59,SI,SI,SI,VILLAVICENCIO,Colombia,Colombia,FEMENINO,1,538527,53,1,0.0000984166067810899
2018,2018,NO,SI,FEMINICIDIO ART. 104A C.P.,"ArchipiElago de San AndrEs, Providencia y Santa Catalina",INACTIVO,EJECUCION DE PENAS,JUVENTUD 18 - 28,SI,NO,SI,SAN ANDRES,Colombia,Colombia,FEMENINO,1,7986,6,1,0.000751314800901578
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Tolima,INACTIVO,INDAGACION,ADULTEZ 29 - 59,NO,NO,NO,IBAGUE,Colombia,Colombia,FEMENINO,1,579803,120,1,0.000206966849084948
2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,EJECUCION DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,SANTA BARBARA,Colombia,Colombia,FEMENINO,1,21238,2,1,0.000094170825878143
2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,BUENAVENTURA,Colombia,Colombia,FEMENINO,1,440995,33,1,0.0000748307803943356
2016,2016,SI,SI,FEMINICIDIO ART. 104A C.P.,Norte de Santander,ACTIVO,EJECUCION DE PENAS,ADOLESCENTE 14 - 17,SI,SI,SI,CUCUTA,Colombia,Colombia,FEMENINO,1,680765,30,1,0.0000440680704795341
2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,SANTA MARTA,Colombia,Colombia,FEMENINO,2,524031,75,1,0.000143121303892327
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,TURBO,Colombia,Colombia,FEMENINO,1,181377,9,1,0.0000496204039100878
2017,2017,SI,SI,FEMINICIDIO ART. 104A C.P.,Huila,INACTIVO,EJECUCION DE PENAS,ADOLESCENTE 14 - 17,SI,SI,SI,LA PLATA,Colombia,Colombia,FEMENINO,1,68372,1,1,0.0000146258702392792
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Boyaca,INACTIVO,EJECUCION DE PENAS,SIN DATO,SI,NO,SI,SOGAMOSO,Colombia,Colombia,FEMENINO,1,110885,12,1,0.000108220228164314
2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,SIN DATO,SI,NO,NO,Bogota,Colombia,Colombia,MASCULINO,2,8380801,884,1,0.000105479177944924
2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,SIN DATO,SI,SI,NO,Bogota,Colombia,Colombia,MASCULINO,2,8380801,884,1,0.000105479177944924
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,Bogota,Colombia,Colombia,FEMENINO,3,8380801,884,1,0.000105479177944924
2012,2012,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,SIN DATO,SI,SI,NO,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P.,Cauca,INACTIVO,EJECUCION DE PENAS,SIN DATO,SI,NO,SI,POPAYAN,Colombia,Colombia,FEMENINO,1,288636,41,1,0.000142047423051872
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Casanare,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,YOPAL,Colombia,Colombia,MASCULINO,1,155882,17,1,0.000109056850694756
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Cesar,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,VALLEDUPAR,Colombia,Colombia,FEMENINO,1,503444,41,1,0.0000814390478384885
2019,2019,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,ADULTO MAYOR DE 60,SI,NO,SI,Bogota,Colombia,,FEMENINO,1,8380801,884,1,0.000105479177944924
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2017,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,INACTIVO,INDAGACION,SIN DATO,NO,NO,NO,POPAYAN,Colombia,Colombia,FEMENINO,1,288636,41,1,0.000142047423051872
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,JUICIO,SIN DATO,SI,NO,NO,Bogota,Colombia,Colombia,MASCULINO,1,8380801,884,1,0.000105479177944924
2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,SIN DATO,NO,SI,NO,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,NariNo,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,PASTO,Colombia,Colombia,FEMENINO,1,465148,30,1,0.0000644956013999845
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Casanare,ACTIVO,INDAGACION,SIN DATO,SI,NO,NO,YOPAL,Colombia,Colombia,FEMENINO,1,155882,17,1,0.000109056850694756
2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,SANTANDER DE QUILICHAO,Colombia,Colombia,FEMENINO,1,100681,24,1,0.000238376654979589
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Cesar,INACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,SI,NO,AGUSTIN CODAZZI,Colombia,Colombia,FEMENINO,1,48805,7,1,0.000143427927466448
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Cesar,ACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,VALLEDUPAR,Colombia,Colombia,FEMENINO,1,503444,41,1,0.0000814390478384885
2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,CALI,Colombia,Colombia,FEMENINO,2,2496346,444,1,0.000177859960117708
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Santander,INACTIVO,INDAGACION,ADULTEZ 29 - 59,NO,SI,NO,FLORIAN,Colombia,Colombia,FEMENINO,1,6259,1,1,0.00015976993129893
2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P.,La Guajira,INACTIVO,EJECUCION DE PENAS,ADOLESCENTE 14 - 17,SI,NO,SI,URUMITA,Colombia,Colombia,FEMENINO,1,20035,1,1,0.0000499126528574994
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Santander,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,SI,NO,GUACA,Colombia,Colombia,FEMENINO,1,6174,1,1,0.000161969549724652
2016,2016,SI,SI,FEMINICIDIO ART. 104A C.P.,Norte de Santander,ACTIVO,EJECUCION DE PENAS,SIN DATO,SI,SI,SI,CUCUTA,Colombia,Colombia,FEMENINO,1,680765,30,1,0.0000440680704795341
2017,2017,SI,SI,FEMINICIDIO ART. 104A C.P.,Casanare,INACTIVO,EJECUCION DE PENAS,ADULTEZ 29 - 59,SI,SI,SI,AGUAZUL,Colombia,Colombia,FEMENINO,1,44381,6,1,0.000135192987990356
2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,AtlAntico,INACTIVO,EJECUCION DE PENAS,SIN DATO,SI,NO,SI,SOLEDAD,Colombia,Colombia,FEMENINO,1,700970,35,1,0.0000499308101630598
2019,2019,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,Bogota,Colombia,Colombia,FEMENINO,5,8380801,884,1,0.000105479177944924
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,POPAYAN,Colombia,Colombia,FEMENINO,1,288636,41,1,0.000142047423051872
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACION,JUVENTUD 18 - 28,SI,NO,NO,CALI,Colombia,Colombia,MASCULINO,1,2496346,444,1,0.000177859960117708
2016,2016,NO,SI,FEMINICIDIO ART. 104A C.P.,Cauca,INACTIVO,EJECUCION DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,POPAYAN,Colombia,Colombia,FEMENINO,1,288636,41,1,0.000142047423051872
2018,2018,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACION,ADULTEZ 29 - 59,NO,NO,NO,CALI,Colombia,Colombia,MASCULINO,2,2496346,444,1,0.000177859960117708
2018,2018,SI,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,INACTIVO,EJECUCION DE PENAS,SIN DATO,SI,NO,SI,LA MESA,Colombia,Colombia,FEMENINO,1,33718,4,1,0.000118630998279851
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Bogota,INACTIVO,INDAGACION,SIN DATO,SI,NO,NO,Bogota,Colombia,Colombia,FEMENINO,1,8380801,884,1,0.000105479177944924
2016,2016,NO,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,INACTIVO,EJECUCION DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,SUESCA,Colombia,Colombia,FEMENINO,1,19113,3,1,0.000156961230576048
2017,2017,SI,SI,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,EJECUCION DE PENAS,ADULTEZ 29 - 59,SI,NO,SI,CALI,Colombia,Colombia,FEMENINO,2,2496346,444,1,0.000177859960117708
2017,2017,NO,NO,FEMINICIDIO ART. 104A C.P.,Casanare,ACTIVO,INDAGACION,ADULTEZ 29 - 59,SI,NO,NO,AGUAZUL,Colombia,Colombia,FEMENINO,1,44381,6,1,0.000135192987990356
